crossing_candidate_id,lat,lon,utm_x,utm_y,raw_event_count,osm_way_count,osm_way_ids,osm_highway,osm_ref,osm_name,motor_vehicle_access_class,member_access_classes,restriction_evidence,road_hierarchy,corridor_continuity,materiality_screen,documentary_inventory_match,current_gateway_match,known_gateway_id,overlap_boundary_geometry,dedup_cluster_diameter_m,dedup_mixed_motorability,dedup_review_flag,notes
GEO_0273,45.82016323187585,12.647034305671692,783306.503914047,5080537.3631446175,1,1,248833324,tertiary,,Via Mure,OPEN_ORDINARY,OPEN_ORDINARY,highway=tertiary; name=Via Mure; surface=asphalt,MEDIUM,TO_BE_RECONCILED,SECONDARY_BUT_POSSIBLY_MATERIAL,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0274,45.81708284844907,12.648938678244521,783470.0835281117,5080201.905516044,1,1,41789672,unclassified,,Via Sile,OPEN_LOCAL,OPEN_LOCAL,highway=unclassified; name=Via Sile; maxweight=2.5,LOW,TO_BE_RECONCILED,MINOR_LIKELY_EXCLUDABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0275,45.8034638448148,12.649748759584037,783602.2148799363,5078691.75465518,1,1,248292118,track,,Via della Meduna,AGRICULTURAL_TRACK,AGRICULTURAL_TRACK,highway=track; name=Via della Meduna; tracktype=grade2; surface=gravel,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0276,46.618118580065335,12.704838819662209,783652.0669882849,5169398.169067032,1,1,508134695,path,,,NON_MOTOR_VEHICLE,NON_MOTOR_VEHICLE,highway=path; surface=unpaved,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0277,46.61672599401827,12.705272771077857,783692.5711610727,5169245.008109307,1,1,356778547,path,,136,NON_MOTOR_VEHICLE,NON_MOTOR_VEHICLE,highway=path; name=136,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0278,46.62033989738155,12.705944792913812,783725.117759945,5169648.955872174,3,1,508134695,path,,,NON_MOTOR_VEHICLE,NON_MOTOR_VEHICLE,highway=path; surface=unpaved,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,144.581,False,False,
GEO_0279,45.804622880981256,12.651544101394615,783735.8242606735,5078826.901147518,2,1,206354659,track,,,AGRICULTURAL_TRACK,AGRICULTURAL_TRACK,highway=track; tracktype=grade2; surface=gravel,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,36.08,False,False,
GEO_0280,46.6019956847025,12.70613198873624,783835.3892654963,5167611.482031941,3,1,454179344,path,,,NON_MOTOR_VEHICLE,NON_MOTOR_VEHICLE,highway=path; surface=ground,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,141.875,False,False,
GEO_0281,46.6115762662386,12.70679373284975,783835.953192225,5168678.3248540135,1,1,921151503,path,,,NON_MOTOR_VEHICLE,NON_MOTOR_VEHICLE,highway=path,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0282,46.61071262476269,12.706987232382842,783855.2865616945,5168583.06681676,1,1,611621268,path,,,NON_MOTOR_VEHICLE,NON_MOTOR_VEHICLE,highway=path; surface=ground,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0283,46.62345846441811,12.708746786710735,783923.2955938377,5170005.549084805,1,1,38506986,track,,,AGRICULTURAL_TRACK,AGRICULTURAL_TRACK,highway=track; tracktype=grade2; surface=gravel,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0284,46.62361157037347,12.708922423343854,783935.9388867776,5170023.193538013,1,1,516826698,path,,,NON_MOTOR_VEHICLE,NON_MOTOR_VEHICLE,highway=path,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0285,46.602028584199715,12.70771787261828,783956.6632109345,5167620.854197227,1,1,848071593,path,,,NON_MOTOR_VEHICLE,NON_MOTOR_VEHICLE,highway=path; surface=ground,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0286,46.624434048739694,12.70991116637617,784007.3188466132,5170118.142537777,2,1,303178597,track,,,AGRICULTURAL_TRACK,AGRICULTURAL_TRACK,highway=track,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,102.838,False,False,
GEO_0287,45.798227799028474,12.655200723006857,784052.4829396788,5078129.434738499,1,1,41746086,secondary,SP12,Via Provinciale di Quartarezza,OPEN_ORDINARY,OPEN_ORDINARY,highway=secondary; ref=SP12; name=Via Provinciale di Quartarezza; surface=asphalt,MEDIUM,TO_BE_RECONCILED,SECONDARY_BUT_POSSIBLY_MATERIAL,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0288,45.7974349258062,12.657193592753334,784211.3829849091,5078048.443290139,1,1,248273379,track,,,AGRICULTURAL_TRACK,AGRICULTURAL_TRACK,highway=track; tracktype=grade3; surface=ground,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0289,45.79230222700215,12.662427926159296,784644.3080415628,5077496.869051201,1,1,1215343047,residential,,Via Giovanni Girardini,OPEN_LOCAL,OPEN_LOCAL,highway=residential; name=Via Giovanni Girardini; surface=gravel,LOW,TO_BE_RECONCILED,MINOR_LIKELY_EXCLUDABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0290,46.628826375312016,12.720123887199636,784766.0134795744,5170643.0517464625,1,1,389780485,path,,,NON_MOTOR_VEHICLE,NON_MOTOR_VEHICLE,highway=path; surface=gravel,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0291,45.79231413527361,12.665378350426055,784873.5460508429,5077508.717131384,1,1,41746087,unclassified,,Via Giovanni Girardini,OPEN_LOCAL,OPEN_LOCAL,highway=unclassified; name=Via Giovanni Girardini,LOW,TO_BE_RECONCILED,MINOR_LIKELY_EXCLUDABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0292,45.792087351493066,12.666207007475464,784939.1041586185,5077486.4798313,1,1,137168280,residential,,Via Faè,OPEN_LOCAL,OPEN_LOCAL,highway=residential; name=Via Faè; surface=compacted,LOW,TO_BE_RECONCILED,MINOR_LIKELY_EXCLUDABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0293,45.791690462097314,12.667072007764773,785008.3554969251,5077445.474803509,1,1,237204045,primary,SR53,Via Postumia,OPEN_ORDINARY,OPEN_ORDINARY,highway=primary; ref=SR53; name=Via Postumia; surface=asphalt,HIGH,TO_BE_RECONCILED,CORE_CANDIDATE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0294,45.791481015189014,12.667487555842872,785041.7201930375,5077423.689723817,2,1,193360066,service,,,OPEN_LOCAL,OPEN_LOCAL,highway=service; node_barrier=gate,VERY_LOW,TO_BE_RECONCILED,MINOR_LIKELY_EXCLUDABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,2.458,False,False,
GEO_0295,46.63086842713275,12.727527646004003,785321.961922121,5170896.7469334295,4,2,157253912|619493737,path,,"Via normale ""Giovanni Paolo II""",NON_MOTOR_VEHICLE,NON_MOTOR_VEHICLE,"highway=path; bicycle=no; foot=yes || highway=path; name=Via normale ""Giovanni Paolo II""; foot=yes",VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,81.808,False,False,
GEO_0296,46.63221969271705,12.72951125194708,785466.6697875059,5171054.072757319,2,1,157253912,path,,,NON_MOTOR_VEHICLE,NON_MOTOR_VEHICLE,highway=path; bicycle=no; foot=yes,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,9.284,False,False,
GEO_0297,46.6331021933914,12.730841294354237,785563.8185737208,5171156.948455969,1,1,361065122,path,,,NON_MOTOR_VEHICLE,NON_MOTOR_VEHICLE,highway=path; bicycle=no; foot=yes,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0298,46.633216590673925,12.73102450832634,785577.238351489,5171170.323403931,1,1,1101787946,path,,,NON_MOTOR_VEHICLE,NON_MOTOR_VEHICLE,highway=path,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0299,46.63429963596479,12.732241965654477,785664.7097120231,5171295.074239335,7,1,361065128,path,,,NON_MOTOR_VEHICLE,NON_MOTOR_VEHICLE,highway=path,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,220.803,False,False,
GEO_0300,45.79435824849173,12.677691807840203,785820.0498119385,5077779.828970367,1,1,248273367,track,,Via Oltre Fossa,AGRICULTURAL_TRACK,AGRICULTURAL_TRACK,highway=track; name=Via Oltre Fossa; surface=grass; node_barrier=lift_gate,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0301,46.63509465552149,12.736313223258447,785972.104482117,5171398.190490661,3,1,1192245066,path,,,NON_MOTOR_VEHICLE,NON_MOTOR_VEHICLE,highway=path,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,188.735,False,False,
GEO_0302,45.794685977351534,12.678536846013849,785884.0433689366,5077819.264777825,1,1,320560783,cycleway,,ex Ferrovia San Vito al Tagliamento-Motta di Livenza,NON_MOTOR_VEHICLE,NON_MOTOR_VEHICLE,highway=cycleway; name=ex Ferrovia San Vito al Tagliamento-Motta di Livenza; bicycle=designated; foot=designated; surface=compacted; node_barrier=bollard,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0303,45.79485884168121,12.678983566814855,785917.8745352373,5077840.069512338,3,2,28282360|320560785,path|residential,,Via Oltrefossa,OPEN_LOCAL,NON_MOTOR_VEHICLE|OPEN_LOCAL,highway=path; bicycle=designated; foot=designated; node_barrier=bollard || highway=residential; name=Via Oltrefossa; surface=asphalt,LOW,TO_BE_RECONCILED,MINOR_LIKELY_EXCLUDABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,45.825,True,True,
GEO_0304,45.795341024992226,12.679410842664215,785948.610281791,5077895.169034216,1,1,237204045,primary,SR53,Via Postumia,OPEN_ORDINARY,OPEN_ORDINARY,highway=primary; ref=SR53; name=Via Postumia; surface=asphalt,HIGH,TO_BE_RECONCILED,CORE_CANDIDATE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
